name,year,domestic_box_office,international_box_office,worldwide_box_office,opening_weekend,legs,production_budget,theater_counts,mpaa_rating,running_time,genre,production_method,creative_type,production_companies,synopsis,link,tconst
The Passion of the Christ,2004,370782930,251558190,622341120,83848082,4.42,25000000,10.5,R,127,Drama,Live Action,Dramatization,Icon Productions,"This depiction of the last 12 hours in the life of Jesus opens with his betrayal by Judas, his condemnation by the Pharisees and his appearance before Pontius Pilate. Pilate defers to King Herod, but Herod returns Jesus. Pilate then asks the crowd to choose between Jesus and Barrabas. The crowd chooses Barrabas. Pilate washes his hands of the matter, and Jesus is forced to carry the cross through the streets to Golgotha where Roman soldiers crucify him. Although Jesus briefly fears that God, his Father, has abandoned him, he regains his faith, proclaiming 'Into Thy hands I command my spirit.' At the moment of his death, nature itself over-turns. ",https://www.the-numbers.com/movie/Passion-of-the-Christ-The#tab=summary,tt0335345
The Secret Life of Pets,2016,368384330,518222082,886606412,104352905,3.53,75000000,8.1,PG,91,Adventure,Digital Animation,Kids Fiction,Illumination Entertainment,"For one bustling Manhattan apartment building, the real day starts after the folks on two legs leave for work and school. Thatxc3xa2xc2x80xc2x99s when the pets of every stripe, fur and feather begin their own nine-to-five routine: hanging out with  each  other,  trading  humiliating  stories  about their owners, auditioning adorable looks to get better snacks and watching Animal Planet like it is reality TV.",https://www.the-numbers.com/movie/Secret-Life-of-Pets-The#tab=summary,tt2709768
Despicable Me 2,2013,368065385,607151450,975216835,84227980,4.37,76000000,8.4,PG,98,Adventure,Digital Animation,Kids Fiction,Universal Pictures,,https://www.the-numbers.com/movie/Despicable-Me-2#tab=summary,tt1690953
The Jungle Book,2016,364001123,598853424,962854547,103261464,3.53,175000000,8.1,PG,105,Adventure,Animation/Live Action,Fantasy,Walt Disney Pictures,"An adventure about Mowgli, a man-cub raised by a family of wolves. But Mowgli finds he is no longer welcome in the jungle when fearsome tiger Shere Khan, who bears the scars of Man, promises to eliminate what he sees as a threat. Urged to abandon the only home hexc3xa2xc2x80xc2x99s ever known, Mowgli embarks on a captivating journey of self-discovery, guided by panther-turned-stern mentor Bagheera, and the free-spirited bear Baloo. Along the way, Mowgli encounters jungle creatures who donxc3xa2xc2x80xc2x99t exactly have his best interests at heart, including Kaa, a python whose seductive voice and gaze hypnotizes the man-cub, and the smooth-talking King Louie, who tries to coerce Mowgli into giving up the secret to the elusive and deadly red flower: fire. ",https://www.the-numbers.com/movie/Jungle-Book-The-(2016)#tab=summary,tt3040964
Deadpool,2016,363070709,421954884,785025593,132434639,2.74,58000000,7.7,R,107,Action,Animation/Live Action,Super Hero,Marvel Studios,"The origin story of former Special Forces operative turned mercenary Wade Wilson, who after being subjected to a rogue experiment that leaves him with accelerated healing powers, adopts the alter ego Deadpool. Armed with his new abilities and a dark, twisted sense of humor, Deadpool hunts down the man who nearly destroyed his life.",https://www.the-numbers.com/movie/Deadpool#tab=summary,tt1431045
Inside Out,2015,356461711,501100000,857561711,90440272,3.94,175000000,8.9,PG,95,Adventure,Digital Animation,Kids Fiction,Disney-Pixar,"Growing up can be a bumpy road, and itxc3xa2xc2x80xc2x99s no exception for Riley, who is uprooted from her Midwest life when her father starts a new job in San Francisco. Like all of us, Riley is guided by her emotions, Fear, Anger, Disgust and Sadness. The emotions live in Headquarters, the control center inside Rileyxc3xa2xc2x80xc2x99s mind, where they help advise her through everyday life. As Riley and her emotions struggle to adjust to a new life in San Francisco, turmoil ensues in Headquarters. Although Joy, Rileyxc3xa2xc2x80xc2x99s main and most important emotion, tries to keep things positive, the emotions conflict on how best to navigate a new city, house and school.",https://www.the-numbers.com/movie/Inside-Out-(2015)#tab=summary,tt2096673
Aladdin,2019,355559216,695400000,1050959216,91500929,3.89,182000000,8,PG,128,Adventure,Animation/Live Action,Fantasy,Walt Disney Pictures,"The charming street rat Aladdin, the courageous and self-determined Princess Jasmine and the Genie who may be the key to their future. ",https://www.the-numbers.com/movie/Aladdin-(2019)#tab=summary,tt6139732
Furious 7,2015,353007020,1165715774,1518722794,147163560,2.4,190000000,6.9,PG-13,137,Action,Live Action,Contemporary Fiction,Original Film,,https://www.the-numbers.com/movie/Furious-7#tab=summary,tt2820852
Transformers: Dark of the Moon,2011,352390543,771403536,1123794079,97852865,3.6,195000000,5.7,PG-13,154,Action,Animation/Live Action,Science Fiction,Paramount Pictures,When a mysterious event from Earthxc3xa2xc2x80xc2x99s past erupts into the present day it threatens to bring a war to Earth so big that the Transformers alone will not be able to save us.  ,https://www.the-numbers.com/movie/Transformers-Dark-of-the-Moon#tab=summary,tt1399103
American Sniper,2014,350126372,197200000,547326372,633456,3.92,58000000,8.9,R,132,Drama,Live Action,Dramatization,Mad Chance,"U.S. Navy SEAL Chris Kyle is sent to Iraq with only one mission: to protect his brothers-in-arms. His pinpoint accuracy saves countless lives on the battlefield and, as stories of his courageous exploits spread, he earns the nickname 'Legend.' However, his reputation is also growing behind enemy lines, putting a price on his head and making him a prime target of insurgents. He is also facing a different kind of battle on the home front: striving to be a good husband and father from halfway around the world. Despite the danger, as well as the toll on his family at home, Chris serves through four harrowing tours of duty in Iraq, personifying the spirit of the SEAL creed to 'leave no one behind.' But upon returning to his wife, Taya Renae Kyle, and kids, Chris finds that it is the war he canxc3xa2xc2x80xc2x99t leave behind.",https://www.the-numbers.com/movie/American-Sniper#tab=summary,tt2179136
The Lord of the Rings: The Two Towers,2002,342548984,585049265,927598249,62007528,5.52,94000000,8.9,PG-13,179,Adventure,Animation/Live Action,Fantasy,Wingnut Films,,https://www.the-numbers.com/movie/Lord-of-the-Rings-The-Two-Towers-The#tab=summary,tt0167261
Zootopia,2016,341268248,682515947,1023784195,75063401,4.55,150000000,9.8,PG,108,Adventure,Digital Animation,Kids Fiction,Walt Disney Pictures,"The modern mammal metropolis of Zootopia is a city like no other. Comprised of habitat neighborhoods like ritzy Sahara Square and frigid Tundratown, itxc3xa2xc2x80xc2x99s a melting pot where animals from every environment live togetherxc3xa2xc2x80xc2x94a place where no matter what you are, from the biggest elephant to the smallest shrew, you can be anything. But when rookie Officer Judy Hopps arrives, she discovers that being the first bunny on a police force of big, tough animals isnxc3xa2xc2x80xc2x99t so easy. Determined to prove herself, she jumps at the opportunity to crack a case, even if it means partnering with a fast-talking, scam-artist fox, Nick Wilde, to solve the mystery. ",https://www.the-numbers.com/movie/Zootopia-(2016)#tab=summary,tt2948356
The Hunger Games: Mockingjay - Part 1,2014,337135885,429439246,766575131,121897634,2.77,125000000,7.3,PG-13,123,Thriller/Suspense,Live Action,Science Fiction,Lionsgate,"Katniss Everdeen is in District 13 after she literally shatters the games forever. Under the leadership of President Coin and the advice of her trusted friends, Katniss spreads her wings as she fights to save Peeta and a nation moved by her courage.",https://www.the-numbers.com/movie/Hunger-Games-Mockingjay-Part-1-The#tab=summary,tt1951265
Spider-Man 3,2007,336530303,558329927,894860230,151116516,2.23,258000000,6.4,PG-13,139,Adventure,Live Action,Super Hero,Columbia Pictures,,https://www.the-numbers.com/movie/Spider-Man-3#tab=summary,tt0413300
Minions,2015,336045770,824290403,1160336173,115718405,2.9,74000000,7.8,PG,91,Adventure,Digital Animation,Kids Fiction,Universal Pictures," Starting as single-celled yellow organisms, Minions evolve through the ages, perpetually serving the most despicable of masters. Continuously unsuccessful at keeping these masters-from T. rex to Napoleon-the Minions find themselves without someone to serve and fall into a deep depression. But one Minion named Kevin has a plan, and he-alongside teenage rebel Stuart and lovable little Bob-ventures out into the world to find a new evil boss for his brethren to follow. The trio embarks upon a thrilling journey that ultimately leads them to their next potential master, Scarlet Overkill, the world's first-ever female super-villain. They travel from frigid Antarctica to 1960s New York City, ending in mod London, where they must face their biggest challenge to date: saving all of Minionkind...from annihilation. ",https://www.the-numbers.com/movie/Minions#tab=summary,tt2293640
Joker,2019,335451311,738800000,1074251311,96202337,3.49,55000000,7.5,R,122,Thriller/Suspense,Live Action,Contemporary Fiction,Village Roadshow Productions,"Arthur Fleck, is of a man struggling to find his way in Gothamxc3xa2xc2x80xc2x99s fractured society. A clown-for-hire by day, he aspires to be a stand-up comic at night...but finds the joke always seems to be on him. Caught in a cyclical existence between apathy and cruelty, Arthur makes one bad decision that brings about a chain reaction of escalating events in this gritty character study.",https://www.the-numbers.com/movie/Joker-(2019)#tab=summary,tt7286456
Aquaman,2018,335061807,811832833,1146894640,67873522,4.94,160000000,7.5,PG-13,143,Action,Animation/Live Action,Super Hero,Warner Bros.,"The Origin story of half-human, half-Atlantean Arthur Curry and takes him on the journey of his lifetimexc3xa2xc2x80xc2x94one that will not only force him to face who he really is, but to discover if he is worthy of who he was born to be...a king. ",https://www.the-numbers.com/movie/Aquaman-(2018)#tab=summary,tt1477834
Spider-Man: Homecoming,2017,334201140,545965210,880166350,117027503,2.86,175000000,8,PG-13,133,Action,Live Action,Super Hero,Marvel Studios,"Thrilled by his experience with the Avengers, Peter returns home, where he lives with his Aunt May, under the watchful eye of his new mentor Tony Stark. Peter tries to fall back into his normal daily routinexc3xa2xc2x80xc2x94distracted by thoughts of proving himself to be more than just your friendly neighborhood Spider-Manxc3xa2xc2x80xc2x94but when the Vulture emerges as a new villain, everything that Peter holds most important will be threatened.",https://www.the-numbers.com/movie/Spider-Man-Homecoming#tab=summary,tt2250912
Alice in Wonderland,2010,334191110,691300000,1025491110,116101023,2.88,200000000,7.2,PG,108,Adventure,Animation/Live Action,Fantasy,Walt Disney Pictures,,https://www.the-numbers.com/movie/Alice-in-Wonderland-(2010)#tab=summary,tt1014759
Guardians of the Galaxy,2014,333172112,439600000,772772112,94320883,3.53,170000000,9.1,PG-13,121,Action,Animation/Live Action,Super Hero,Marvel Studios,"Adventurer Peter Quill finds himself the object of an unrelenting bounty hunt after stealing a mysterious orb coveted by Ronan, a powerful villain with ambitions that threaten the entire universe. To evade the ever-persistent Ronan, Quill is forced into an uneasy truce with a quartet of disparate misfitsxc3xa2xc2x80xc2x94Rocket, a gun-toting raccoon, Groot, a tree-like humanoid, the deadly and enigmatic Gamora and the revenge-driven Drax the Destroyer. But when Quill discovers the true power of the orb and the menace it poses to the cosmos, he must do his best to rally his ragtag rivals for a last, desperate standxc3xa2xc2x80xc2x94with the galaxyxc3xa2xc2x80xc2x99s fate in the balance.",https://www.the-numbers.com/movie/Guardians-of-the-Galaxy#tab=summary,tt2015381
Batman v Superman: Dawn of Justice,2016,330360194,543274725,873634919,166007347,1.99,263000000,5.9,PG-13,151,Action,Live Action,Super Hero,Warner Bros.,"Fearing the actions of a god-like super hero left unchecked, Gotham Cityxc3xa2xc2x80xc2x99s own formidable, forceful vigilante takes on Metropolisxc3xa2xc2x80xc2x99s most revered, modern-day savior, while the world wrestles with what sort of hero it really needs. And with Batman and Superman at war with each other, a new threat quickly arises, putting mankind in greater danger than it has ever known before.",https://www.the-numbers.com/movie/Batman-v-Superman-Dawn-of-Justice#tab=summary,tt2975590
Forrest Gump,1994,330151138,349687122,679838260,24450602,13.5,55000000,23.8,PG-13,142,Drama,Live Action,Historical Fiction,Steve Tisch Productions,,https://www.the-numbers.com/movie/Forrest-Gump#tab=summary,tt0109830
It,2017,328828874,372900000,701728874,123403419,2.66,35000000,7.4,R,135,Horror,Live Action,Historical Fiction,Lin Pictures,"When children begin to disappear in the town of Derry, Maine, a group of young kids are faced with their biggest fears when they square off against an evil clown named Pennywise, whose history of murder and violence dates back for centuries. ",https://www.the-numbers.com/movie/It-(2017)#tab=summary,tt1396484
Suicide Squad,2016,325100054,420959833,746059887,133682248,2.43,175000000,7.4,PG-13,123,Action,Animation/Live Action,Super Hero,Warner Bros.,"It feels good to be bad... Assemble a team of the worldxc3xa2xc2x80xc2x99s most dangerous, incarcerated Super Villains, provide them with the most powerful arsenal at the governmentxc3xa2xc2x80xc2x99s disposal, and send them off on a mission to defeat an enigmatic, insuperable entity.  U.S. intelligence officer Amanda Waller has determined only a secretly convened group of disparate, despicable individuals with next to nothing to lose will do.  However, once they realize they werenxc3xa2xc2x80xc2x99t picked to succeed but chosen for their patent culpability when they inevitably fail, will the Suicide Squad resolve to die trying, or decide itxc3xa2xc2x80xc2x99s every man for himself?",https://www.the-numbers.com/movie/Suicide-Squad#tab=summary,tt1386697
Deadpool 2,2018,324591735,462088822,786680557,125507153,2.59,110000000,7.1,R,119,Action,Animation/Live Action,Super Hero,Marvel Studios,"After surviving a near fatal bovine attack, a disfigured cafeteria chef struggles to fulfill his dream of becoming Mayberryxc3xa2xc2x80xc2x99s hottest bartender while also learning to cope with his lost sense of taste. Searching to regain his spice for life, as well as a flux capacitor, Wade must battle ninjas, the yakuza, and a pack of sexually aggressive canines, as he journeys around the world to discover the importance of family, friendship, and flavorxc3xa2xc2x80xc2x94finding a new taste for adventure and earning the coveted coffee mug title of Worldxc3xa2xc2x80xc2x99s Best Lover. ",https://www.the-numbers.com/movie/Deadpool-2#tab=summary,tt5463162
Shrek the Third,2007,322719944,484610992,807330936,121629270,2.65,160000000,6.7,PG,92,Adventure,Digital Animation,Kids Fiction,DreamWorks Animation,,https://www.the-numbers.com/movie/Shrek-the-Third#tab=summary,tt0413267
Transformers,2007,319246193,389026399,708272592,70502384,4.53,151000000,6.4,PG-13,142,Action,Animation/Live Action,Science Fiction,DreamWorks Pictures,,https://www.the-numbers.com/movie/Transformers#tab=summary,tt0418279
Iron Man,2008,318604126,266567421,585171547,102118668,3.12,186000000,8,PG-13,126,Adventure,Live Action,Super Hero,Paramount Pictures,,https://www.the-numbers.com/movie/Iron-Man#tab=summary,tt0371746
Harry Potter and the Sorcerer's Stone,2001,317871467,657176139,975047606,90294621,3.52,125000000,9.8,PG,152,Adventure,Animation/Live Action,Fantasy,Heyday Films,,https://www.the-numbers.com/movie/Harry-Potter-and-the-Sorcerers-Stone#tab=summary,tt0241527
Indiana Jones and the Kingdom of the Crystal Skull,2008,317101119,469534294,786635413,100137835,3.17,185000000,7,PG-13,123,Adventure,Live Action,Historical Fiction,Lucasfilm,,https://www.the-numbers.com/movie/Indiana-Jones-and-the-Kingdom-of-the-Crystal-Skull#tab=summary,tt0367882
Jumanji: The Next Level,2019,316831246,478876844,795708090,59251543,5.35,125000000,9.8,PG-13,123,Adventure,Live Action,Science Fiction,7 Bucks Productions,"In Jumanji: The Next Level, the gang is back but the game has changed. As they return to Jumanji to rescue one of their own, they discover that nothing is as they expect. The players will have to brave parts unknown and unexplored, from the arid deserts to the snowy mountains, in order to escape the worldxc3xa2xc2x80xc2x99s most dangerous game.",https://www.the-numbers.com/movie/Jumanji-The-Next-Level#tab=summary,tt7975244
The Lord of the Rings: The Fellowship of the Ring,2001,315544750,571666235,887210985,47211490,6.68,109000000,11.6,PG-13,179,Adventure,Animation/Live Action,Fantasy,,,https://www.the-numbers.com/movie/Lord-of-the-Rings-The-Fellowship-of-the-Ring-The#tab=summary,tt0120737
Thor: Ragnarok,2017,315058289,538900000,853958289,122744989,2.57,180000000,6.5,PG-13,130,Action,Live Action,Super Hero,Marvel Studios,"Thor is imprisoned on the other side of the universe without his mighty hammer and finds himself in a race against time to get back to Asgard to stop Ragnarokxc3xa2xc2x80xc2x94the destruction of his home-world and the end of Asgardian civilizationxc3xa2xc2x80xc2x94at the hands of an all-powerful new threat, the ruthless Hela. But first, he must survive a deadly gladiatorial contest that pits him against his former ally and fellow Avengerxc3xa2xc2x80xc2x94the Incredible Hulk! ",https://www.the-numbers.com/movie/Thor-Ragnarok#tab=summary,tt3501632
Iron Man 2,2010,312433331,308723058,621156389,128122480,2.44,170000000,6.2,PG-13,125,Action,Live Action,Super Hero,Paramount Pictures,,https://www.the-numbers.com/movie/Iron-Man-2#tab=summary,tt1228705
Star Wars Ep. II: Attack of the Clones,2002,310676740,346018875,656695615,80027814,3.88,115000000,7.9,PG,143,Adventure,Animation/Live Action,Science Fiction,Lucasfilm,"Ten years after the invasion of Naboo, the galaxy is on the brink of civil war. Under the leadership of a renegade Jedi named Count Dooku, thousands of solar systems threaten to break away from the Galactic Republic. When an assassination attempt is made on Senator Padmé Amidala, the former Queen of Naboo, twenty-year-old Jedi apprentice Anakin Skywalker is assigned to protect her. In the course of his mission, Anakin discovers his love for Padmé as well as his own darker side. Soon, Anakin, Padmé, and Obi-Wan Kenobi are drawn into the heart of the Separatist movement and the beginning of the Clone Wars. ",https://www.the-numbers.com/movie/Star-Wars-Ep-II-Attack-of-the-Clones#tab=summary,tt0121765
Pirates of the Caribbean: At World's End,2007,309420425,654000000,963420425,114732820,2.7,300000000,6.1,PG-13,167,Adventure,Live Action,Historical Fiction,Walt Disney Pictures,,https://www.the-numbers.com/movie/Pirates-of-the-Caribbean-At-Worlds-End#tab=summary,tt0449088
Star Wars Ep. VI: Return of the Jedi,1983,309205079,165901098,475106177,23019618,13.43,32500000,19.1,PG,133,Adventure,Live Action,Science Fiction,Lucasfilm,,https://www.the-numbers.com/movie/Star-Wars-Ep-VI-Return-of-the-Jedi#tab=summary,tt0086190
Independence Day,1996,306169255,511231623,817400878,50228264,6.1,75000000,13.2,PG-13,145,Adventure,Live Action,Science Fiction,Centropolis Entertainment,,https://www.the-numbers.com/movie/Independence-Day#tab=summary,tt0116629
Pirates of the Caribbean: The Curse of the Black Pearl,2003,305410819,348900000,654310819,46630690,6.55,140000000,10.8,PG-13,144,Adventure,Live Action,Fantasy,Walt Disney Pictures,,https://www.the-numbers.com/movie/Pirates-of-the-Caribbean-The-Curse-of-the-Black-Pearl#tab=summary,tt0325980
Skyfall,2012,304360277,806166704,1110526981,88364714,3.44,200000000,8.2,PG-13,143,Action,Live Action,Contemporary Fiction,Eon Productions,"Bond's loyalty to M is tested as her past comes back to haunt her. As MI6 comes under attack, 007 must track down and destroy the threat, no matter how personal the cost",https://www.the-numbers.com/movie/Skyfall#tab=summary,tt1074638
The Hobbit: An Unexpected Journey,2012,303003568,714000000,1017003568,84617303,3.58,200000000,6.8,PG-13,169,Adventure,Animation/Live Action,Fantasy,New Line Cinema,"Hobbit Bilbo Baggins is swept into an epic quest to reclaim the lost Dwarf Kingdom of Erebor from the fearsome Dragon Smaug. Approached out of the blue by the Wizard Gandalf the Grey, Bilbo finds himself joining a company of 13 Dwarves led by the legendary warrior Thorin Oakenshield. Their journey will take them into the Wild, through treacherous lands swarming with Goblins, Orcs and deadly Wargs, as well as a mysterious and sinister figure known only as the Necromancer.Although their goal lies to the East and the wastelands of the Lonely Mountain, first they must escape the Goblin tunnels, where Bilbo meets the creature that will change his life forever...Gollum.Here, alone with Gollum, on the shores of an underground lake, the unassuming Bilbo Baggins not only discovers depths of ingenuity and courage that surprise even him, he also gains possession of Gollum's ""precious"" ring that holds unexpected and useful qualities... A simple, gold ring that is tied to the fate of all Middle-earth in ways Bilbo cannot begin to know.",https://www.the-numbers.com/movie/Hobbit-An-Unexpected-Journey-The#tab=summary,tt0903624
Harry Potter and the Half-Blood Prince,2009,302089278,633124489,935213767,77835727,3.88,250000000,6.1,PG,153,Adventure,Animation/Live Action,Fantasy,Heyday Films,,https://www.the-numbers.com/movie/Harry-Potter-and-the-Half-Blood-Prince#tab=summary,tt0417741
The Twilight Saga: Eclipse,2010,300531751,405571077,706102828,64832191,4.64,68000000,5.5,PG-13,124,Drama,Live Action,Fantasy,Temple Hill Entertainment,"Bella once again finds herself surrounded by danger as Seattle is ravaged by a string of mysterious killings and a malicious vampire continues her quest for revenge. In the midst of it all, she is forced to choose between her love for Edward and her friendship with Jacobxc3xa2xc2x80xc2x94 knowing that her decision has the potential to ignite the struggle between vampire and werewolf. With her graduation quickly approaching, Bella is confronted with the most important decision of her life.",https://www.the-numbers.com/movie/Twilight-Saga-Eclipse-The#tab=summary,tt1325004
The Twilight Saga: New Moon,2009,296623634,390934093,687557727,142839137,2.08,50000000,6.5,PG-13,130,Drama,Live Action,Fantasy,Summit Entertainment,asdsada,https://www.the-numbers.com/movie/Twilight-Saga-New-Moon-The#tab=summary,tt1259571
Harry Potter and the Deathly Hallows: Part I,2010,296131568,664300000,960431568,125017372,2.37,125000000,6.8,PG-13,146,Adventure,Animation/Live Action,Fantasy,Heyday Films,"Harry, Ron and Hermione set out on their perilous mission to track down and destroy the Horcruxes - the keys to Voldemort's immortality. On their own, without the guidance or protection of their professors, the three friends must now rely on one another more than ever. But there are dark forces in their midst that threaten to tear them apart. Meanwhile, the Wizarding world has become a dangerous place for all enemies of the Dark Lord. Long-feared war has begun and Voldemort's death eaters seize control of the Ministry of Magic and even Hogwarts, terrorizing and arresting anyone who might oppose them. But the one prize they still seek is the one most valuable to Voldemort: Harry Potter. The Chosen one has become the hunted one as Voldemort's followers look for Harry with orders to bring him to the Dark Lord alive. ",https://www.the-numbers.com/movie/Harry-Potter-and-the-Deathly-Hallows-Part-I#tab=summary,tt0926084
The Sixth Sense,1999,293506292,379300000,672806292,26681262,10.03,40000000,18.3,PG-13,108,Thriller/Suspense,Live Action,Fantasy,Hollywood Pictures,,https://www.the-numbers.com/movie/Sixth-Sense-The#tab=summary,tt0167404
Up,2009,293004164,438459213,731463377,68108790,4.3,175000000,7.8,PG,89,Adventure,Digital Animation,Fantasy,Walt Disney Pictures,,https://www.the-numbers.com/movie/Up#tab=summary,tt1049413
Inception,2010,292576195,541267887,833844082,62785337,4.66,160000000,8.2,PG-13,147,Thriller/Suspense,Animation/Live Action,Science Fiction,Warner Bros.,"Dom Cobb is a skilled thief, the absolute best in the dangerous art of extraction, stealing valuable secrets from deep within the subconscious, during the dream state when the mind is at its most vulnerable. Cobbxc3xa2xc2x80xc2x99s rare ability has made him a coveted player in this treacherous new world of corporate espionage, but it has also made him an international fugitive and cost him everything he has ever loved. One last job could give him his life back but only if he can accomplish the impossible: inception. Instead of the perfect heist, Cobb and his team of specialists have to pull off the reverse: their task is not to steal an idea but to plant one. If they succeed, it could be the perfect crime. But no amount of careful planning or expertise can prepare the team for the dangerous enemy that seems to predict their every move. An enemy that only Cobb could have seen coming.",https://www.the-numbers.com/movie/Inception#tab=summary,tt1375666
"The Twilight Saga: Breaking Dawn, Part 2",2012,292324737,537400000,829724737,141067634,2.07,136200000,5.9,PG-13,115,Drama,Live Action,Fantasy,Temple Hill Entertainment,"Bella awakens transformedxc3xa2xc2x80xc2x94she is now a mother and finally... a vampire. While her husband Edward delights in her beauty, speed, and uncommon self-control, newborn Bella has never felt more alive; and the destiny of her best friend Jacob Black has become entwined in that of their exceptional daughter Renesmee. The arrival of a creature so rare cements an extended family, but will soon ignite forces that threaten to destroy.",https://www.the-numbers.com/movie/Twilight-Saga-Breaking-Dawn-Part-2-The#tab=summary,tt1673434
Harry Potter and the Order of the Phoenix,2007,292137260,650939197,943076457,77108414,3.79,150000000,6.1,PG-13,138,Adventure,Animation/Live Action,Fantasy,Heyday Films,,https://www.the-numbers.com/movie/Harry-Potter-and-the-Order-of-the-Phoenix#tab=summary,tt0373889
"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",2005,291710957,428828615,720539572,65556312,4.45,180000000,8.7,PG,140,Adventure,Animation/Live Action,Fantasy,Walt Disney Pictures,"Four young adventurers playing hide and-seek in the country home of an old professor stumble upon an enchanted wardrobe that will take them places they never dreamed. Stepping through the wardrobe door, they are whisked out of World War II London into the spectacular parallel universe known as Narniaxc3xa2xc2x80xc2x94a fairy-tale realm of magical proportions where woodland animals talk and mythological creatures roam the hills. But Narnia has fallen under the icy spell of a mad sorceress, cursed to suffer through a winter that never ends by the White Witch Jadis. Now, aided by Narniaxc3xa2xc2x80xc2x99s rightful leader, the wise and mystical lion Aslan, the four Pevensie children will discover their own strength and lead Narnia into a spectacular battle to be free of the Witchxc3xa2xc2x80xc2x99s glacial enslavement forever. ",https://www.the-numbers.com/movie/Chronicles-of-Narnia-The-Lion-the-Witch-and-the-Wardrobe-The#tab=summary,tt0363771
Man of Steel,2013,291045518,376954000,667999518,116619362,2.5,225000000,5,PG-13,142,Action,Live Action,Super Hero,Warner Bros.,"A young boy learns that he has extraordinary powers and is not of this Earth. As a young man, he journeys to discover where he came from and what he was sent here to do. But the hero in him must emerge if he is to save the world from annihilation and become the symbol of hope for all mankind. ",https://www.the-numbers.com/movie/Man-of-Steel#tab=summary,tt0770828
Star Wars Ep. V: The Empire Strikes Back,1980,290271960,257697044,547969004,4910483,13.21,23000000,13.1,PG,124,Adventure,Live Action,Science Fiction,Lucasfilm,,https://www.the-numbers.com/movie/Star-Wars-Ep-V-The-Empire-Strikes-Back#tab=summary,tt0080684
Harry Potter and the Goblet of Fire,2005,290201752,606898042,897099794,102685961,2.83,150000000,7.5,PG-13,150,Adventure,Animation/Live Action,Fantasy,Warner Bros.,,https://www.the-numbers.com/movie/Harry-Potter-and-the-Goblet-of-Fire#tab=summary,tt0330373