Name,Distributors,Mpaa rating,Genre,Opening weekend,Domestic box office,International box office,Worldwide box office,Synopsis,Link
The Passion of the Christ (2004),United States,R,Live Action,"$83,848,082","$370,782,930","$251,558,190","$622,341,120","This depiction of the last 12 hours in the life of Jesus opens with his betrayal by Judas, his condemnation by the Pharisees and his appearance before Pontius Pilate. Pilate defers to King Herod, but Herod returns Jesus. Pilate then asks the crowd to choose between Jesus and Barrabas. The crowd chooses Barrabas. Pilate washes his hands of the matter, and Jesus is forced to carry the cross through the streets to Golgotha where Roman soldiers crucify him. Although Jesus briefly fears that God, his Father, has abandoned him, he regains his faith, proclaiming 'Into Thy hands I command my spirit.' At the moment of his death, nature itself over-turns. ",https://www.the-numbers.com/movie/Passion-of-the-Christ-The#tab=summary
The Secret Life of Pets (2016),Illumination Entertainment/Universal Pictures/Chris Meledandri/Dentsu Inc./Fuji Television Network,PG,Adventure,"$104,352,905","$368,384,330","$518,222,082","$886,606,412","For one bustling Manhattan apartment building, the real day starts after the folks on two legs leave for work and school. That's when the pets of every stripe, fur and feather begin their own nine-to-five routine: hanging out with  each  other,  trading  humiliating  stories  about their owners, auditioning adorable looks to get better snacks and watching Animal Planet like it is reality TV.",https://www.the-numbers.com/movie/Secret-Life-of-Pets-The#tab=summary
Despicable Me 2 (2013),Universal Pictures/Chris Meledandri/Illumination Entertainment,PG,Adventure,"$84,227,980","$368,065,385","$607,151,450","$975,216,835",,https://www.the-numbers.com/movie/Despicable-Me-2#tab=summary
The Jungle Book (2016),United States,PG,Animation/Live Action,"$103,261,464","$364,001,123","$598,853,424","$962,854,547","An adventure about Mowgli, a man-cub raised by a family of wolves. But Mowgli finds he is no longer welcome in the jungle when fearsome tiger Shere Khan, who bears the scars of Man, promises to eliminate what he sees as a threat. Urged to abandon the only home he's ever known, Mowgli embarks on a captivating journey of self-discovery, guided by panther-turned-stern mentor Bagheera, and the free-spirited bear Baloo. Along the way, Mowgli encounters jungle creatures who don't exactly have his best interests at heart, including Kaa, a python whose seductive voice and gaze hypnotizes the man-cub, and the smooth-talking King Louie, who tries to coerce Mowgli into giving up the secret to the elusive and deadly red flower: fire. ",https://www.the-numbers.com/movie/Jungle-Book-The-(2016)#tab=summary
Deadpool (2016),Marvel Studios,R,Action,"$132,434,639","$363,070,709","$421,954,884","$785,025,593","The origin story of former Special Forces operative turned mercenary Wade Wilson, who after being subjected to a rogue experiment that leaves him with accelerated healing powers, adopts the alter ego Deadpool. Armed with his new abilities and a dark, twisted sense of humor, Deadpool hunts down the man who nearly destroyed his life.",https://www.the-numbers.com/movie/Deadpool#tab=summary
Inside Out (2015),United States,PG,Digital Animation,"$90,440,272","$356,461,711","$501,100,000","$857,561,711","Growing up can be a bumpy road, and it's no exception for Riley, who is uprooted from her Midwest life when her father starts a new job in San Francisco. Like all of us, Riley is guided by her emotions, Fear, Anger, Disgust and Sadness. The emotions live in Headquarters, the control center inside Riley's mind, where they help advise her through everyday life. As Riley and her emotions struggle to adjust to a new life in San Francisco, turmoil ensues in Headquarters. Although Joy, Riley's main and most important emotion, tries to keep things positive, the emotions conflict on how best to navigate a new city, house and school.",https://www.the-numbers.com/movie/Inside-Out-(2015)#tab=summary
Aladdin (2019),India/United States,PG,Animation/Live Action,"$91,500,929","$355,559,216","$695,400,000","$1,050,959,216","The charming street rat Aladdin, the courageous and self-determined Princess Jasmine and the Genie who may be the key to their future. ",https://www.the-numbers.com/movie/Aladdin-(2019)#tab=summary
Furious 7 (2015),Original Film/One Race Films/Universal Pictures/MRC/China Film Company/Dentsu Inc.,PG-13,Action,"$147,163,560","$353,007,020","$1,165,715,774","$1,518,722,794",,https://www.the-numbers.com/movie/Furious-7#tab=summary
Transformers: Dark of the Moon (2011),United States,PG-13,Animation/Live Action,"$97,852,865","$352,390,543","$771,403,536","$1,123,794,079",When a mysterious event from Earth's past erupts into the present day it threatens to bring a war to Earth so big that the Transformers alone will not be able to save us.  ,https://www.the-numbers.com/movie/Transformers-Dark-of-the-Moon#tab=summary
American Sniper (2014),United States,R,Live Action,"$633,456","$350,126,372","$197,200,000","$547,326,372","U.S. Navy SEAL Chris Kyle is sent to Iraq with only one mission: to protect his brothers-in-arms. His pinpoint accuracy saves countless lives on the battlefield and, as stories of his courageous exploits spread, he earns the nickname 'Legend.' However, his reputation is also growing behind enemy lines, putting a price on his head and making him a prime target of insurgents. He is also facing a different kind of battle on the home front: striving to be a good husband and father from halfway around the world. Despite the danger, as well as the toll on his family at home, Chris serves through four harrowing tours of duty in Iraq, personifying the spirit of the SEAL creed to 'leave no one behind.' But upon returning to his wife, Taya Renae Kyle, and kids, Chris finds that it is the war he can't leave behind.",https://www.the-numbers.com/movie/American-Sniper#tab=summary
The Lord of the Rings: The Two Towers (2002),Wingnut Films,PG-13,Adventure,"$62,007,528","$342,548,984","$585,049,265","$927,598,249",,https://www.the-numbers.com/movie/Lord-of-the-Rings-The-Two-Towers-The#tab=summary
Zootopia (2016),United States,PG,Digital Animation,"$75,063,401","$341,268,248","$682,515,947","$1,023,784,195","The modern mammal metropolis of Zootopia is a city like no other. Comprised of habitat neighborhoods like ritzy Sahara Square and frigid Tundratown, it's a melting pot where animals from every environment live together--a place where no matter what you are, from the biggest elephant to the smallest shrew, you can be anything. But when rookie Officer Judy Hopps arrives, she discovers that being the first bunny on a police force of big, tough animals isn't so easy. Determined to prove herself, she jumps at the opportunity to crack a case, even if it means partnering with a fast-talking, scam-artist fox, Nick Wilde, to solve the mystery. ",https://www.the-numbers.com/movie/Zootopia-(2016)#tab=summary
The Hunger Games: Mockingjay - Part 1 (2014),Lionsgate/Color Force,PG-13,Thriller/Suspense,"$121,897,634","$337,135,885","$429,439,246","$766,575,131","Katniss Everdeen is in District 13 after she literally shatters the games forever. Under the leadership of President Coin and the advice of her trusted friends, Katniss spreads her wings as she fights to save Peeta and a nation moved by her courage.",https://www.the-numbers.com/movie/Hunger-Games-Mockingjay-Part-1-The#tab=summary
Spider-Man 3 (2007),United States,PG-13,Live Action,"$151,116,516","$336,530,303","$558,329,927","$894,860,230",,https://www.the-numbers.com/movie/Spider-Man-3#tab=summary
Minions (2015),Universal Pictures/Illumination Entertainment,PG,Adventure,"$115,718,405","$336,045,770","$824,290,403","$1,160,336,173"," Starting as single-celled yellow organisms, Minions evolve through the ages, perpetually serving the most despicable of masters. Continuously unsuccessful at keeping these masters-from T. rex to Napoleon-the Minions find themselves without someone to serve and fall into a deep depression. But one Minion named Kevin has a plan, and he-alongside teenage rebel Stuart and lovable little Bob-ventures out into the world to find a new evil boss for his brethren to follow. The trio embarks upon a thrilling journey that ultimately leads them to their next potential master, Scarlet Overkill, the world's first-ever female super-villain. They travel from frigid Antarctica to 1960s New York City, ending in mod London, where they must face their biggest challenge to date: saving all of Minionkind...from annihilation. ",https://www.the-numbers.com/movie/Minions#tab=summary
Joker (2019),Village Roadshow Productions/Warner Bros./Bron Creative/Joint Effort,R,Thriller/Suspense,"$96,202,337","$335,451,311","$738,792,258","$1,074,243,569","Arthur Fleck, is of a man struggling to find his way in Gotham's fractured society. A clown-for-hire by day, he aspires to be a stand-up comic at night...but finds the joke always seems to be on him. Caught in a cyclical existence between apathy and cruelty, Arthur makes one bad decision that brings about a chain reaction of escalating events in this gritty character study.",https://www.the-numbers.com/movie/Joker-(2019)#tab=summary
Aquaman (2018),Warner Bros./DC Films/RatPac Entertainment/The Safran Company/Cruel and Unusual Films/Mad Ghost Productions,PG-13,Action,"$67,873,522","$335,061,807","$811,832,833","$1,146,894,640","The Origin story of half-human, half-Atlantean Arthur Curry and takes him on the journey of his lifetime--one that will not only force him to face who he really is, but to discover if he is worthy of who he was born to be...a king. ",https://www.the-numbers.com/movie/Aquaman-(2018)#tab=summary
Spider-Man: Homecoming (2017),Marvel Studios/Columbia Pictures/LStar Capital,PG-13,Action,"$117,027,503","$334,201,140","$545,965,210","$880,166,350","Thrilled by his experience with the Avengers, Peter returns home, where he lives with his Aunt May, under the watchful eye of his new mentor Tony Stark. Peter tries to fall back into his normal daily routine--distracted by thoughts of proving himself to be more than just your friendly neighborhood Spider-Man--but when the Vulture emerges as a new villain, everything that Peter holds most important will be threatened.",https://www.the-numbers.com/movie/Spider-Man-Homecoming#tab=summary
Alice in Wonderland (2010),United States,PG-13,Animation/Live Action,"$116,101,023","$334,191,110","$691,300,000","$1,025,491,110",,https://www.the-numbers.com/movie/Alice-in-Wonderland-(2010)#tab=summary
Guardians of the Galaxy (2014),Marvel Studios,PG-13,Action,"$94,320,883","$333,172,112","$439,600,000","$772,772,112","Adventurer Peter Quill finds himself the object of an unrelenting bounty hunt after stealing a mysterious orb coveted by Ronan, a powerful villain with ambitions that threaten the entire universe. To evade the ever-persistent Ronan, Quill is forced into an uneasy truce with a quartet of disparate misfits--Rocket, a gun-toting raccoon, Groot, a tree-like humanoid, the deadly and enigmatic Gamora and the revenge-driven Drax the Destroyer. But when Quill discovers the true power of the orb and the menace it poses to the cosmos, he must do his best to rally his ragtag rivals for a last, desperate stand--with the galaxy's fate in the balance.",https://www.the-numbers.com/movie/Guardians-of-the-Galaxy#tab=summary
Batman v Superman: Dawn of Justice (2016),Warner Bros./RatPac Entertainment/Dune Entertainment/Atlas Entertainment/Cruel and Unusual Films,PG-13,Action,"$166,007,347","$330,360,194","$543,274,725","$873,634,919","Fearing the actions of a god-like super hero left unchecked, Gotham City's own formidable, forceful vigilante takes on Metropolis's most revered, modern-day savior, while the world wrestles with what sort of hero it really needs. And with Batman and Superman at war with each other, a new threat quickly arises, putting mankind in greater danger than it has ever known before.",https://www.the-numbers.com/movie/Batman-v-Superman-Dawn-of-Justice#tab=summary
Forrest Gump (1994),United States,PG-13,Live Action,"$24,450,602","$330,151,138","$349,694,109","$679,845,247",,https://www.the-numbers.com/movie/Forrest-Gump#tab=summary
It (2017),Lin Pictures/Vertigo Entertainment/KatzSmith Productions/New Line Cinema,R,Horror,"$123,403,419","$328,828,874","$372,900,000","$701,728,874","When children begin to disappear in the town of Derry, Maine, a group of young kids are faced with their biggest fears when they square off against an evil clown named Pennywise, whose history of murder and violence dates back for centuries. ",https://www.the-numbers.com/movie/It-(2017)#tab=summary
Suicide Squad (2016),Warner Bros./RatPac Entertainment/Dune Entertainment/Atlas Entertainment,PG-13,Action,"$133,682,248","$325,100,054","$420,959,833","$746,059,887","It feels good to be bad... Assemble a team of the world's most dangerous, incarcerated Super Villains, provide them with the most powerful arsenal at the government's disposal, and send them off on a mission to defeat an enigmatic, insuperable entity.  U.S. intelligence officer Amanda Waller has determined only a secretly convened group of disparate, despicable individuals with next to nothing to lose will do.  However, once they realize they weren't picked to succeed but chosen for their patent culpability when they inevitably fail, will the Suicide Squad resolve to die trying, or decide it's every man for himself?",https://www.the-numbers.com/movie/Suicide-Squad#tab=summary
Deadpool 2 (2018),Marvel Studios/Donnersâ Company/Twentieth Century Fox/Kinberg Genre/Maximum Effect ,R,Action,"$125,507,153","$324,591,735","$462,088,822","$786,680,557","After surviving a near fatal bovine attack, a disfigured cafeteria chef struggles to fulfill his dream of becoming Mayberry's hottest bartender while also learning to cope with his lost sense of taste. Searching to regain his spice for life, as well as a flux capacitor, Wade must battle ninjas, the yakuza, and a pack of sexually aggressive canines, as he journeys around the world to discover the importance of family, friendship, and flavor--finding a new taste for adventure and earning the coveted coffee mug title of World's Best Lover. ",https://www.the-numbers.com/movie/Deadpool-2#tab=summary
Shrek the Third (2007),United States,R,Digital Animation,"$121,629,270","$322,719,944","$484,610,992","$807,330,936",,https://www.the-numbers.com/movie/Shrek-the-Third#tab=summary
Transformers (2007),United States,R,Animation/Live Action,"$70,502,384","$319,246,193","$389,026,399","$708,272,592",,https://www.the-numbers.com/movie/Transformers#tab=summary
Iron Man (2008),Paramount Pictures/Marvel Studios/Fairview Entertainment,PG-13,Adventure,"$102,118,668","$318,604,126","$266,567,421","$585,171,547",,https://www.the-numbers.com/movie/Iron-Man#tab=summary
Harry Potter and the Sorcererâs Stone (2001),Heyday Films/1492 Pictures/Duncan Henderson Productions,PG,Adventure,"$90,294,621","$317,871,467","$657,176,139","$975,047,606",,https://www.the-numbers.com/movie/Harry-Potter-and-the-Sorcerers-Stone#tab=summary
Indiana Jones and the Kingdom of the Crystal Skull (2008),United States,PG,Live Action,"$100,137,835","$317,101,119","$469,534,294","$786,635,413",,https://www.the-numbers.com/movie/Indiana-Jones-and-the-Kingdom-of-the-Crystal-Skull#tab=summary
Jumanji: The Next Level (2019),7 Bucks Productions/Matt Tolmach Productions/Columbia Pictures/Hartbeat Productions/Detective Agency,PG-13,Adventure,"$59,251,543","$316,831,246","$478,876,844","$795,708,090","In Jumanji: The Next Level, the gang is back but the game has changed. As they return to Jumanji to rescue one of their own, they discover that nothing is as they expect. The players will have to brave parts unknown and unexplored, from the arid deserts to the snowy mountains, in order to escape the world's most dangerous game.",https://www.the-numbers.com/movie/Jumanji-The-Next-Level#tab=summary
The Lord of the Rings: The Fellowship of the Ring (2001),New Zealand/United States,PG-13,Adventure,"$47,211,490","$315,544,750","$571,666,235","$887,210,985",,https://www.the-numbers.com/movie/Lord-of-the-Rings-The-Fellowship-of-the-Ring-The#tab=summary
Thor: Ragnarok (2017),Marvel Studios,PG-13,Action,"$122,744,989","$315,058,289","$538,900,000","$853,958,289","Thor is imprisoned on the other side of the universe without his mighty hammer and finds himself in a race against time to get back to Asgard to stop Ragnarok--the destruction of his home-world and the end of Asgardian civilization--at the hands of an all-powerful new threat, the ruthless Hela. But first, he must survive a deadly gladiatorial contest that pits him against his former ally and fellow Avenger--the Incredible Hulk! ",https://www.the-numbers.com/movie/Thor-Ragnarok#tab=summary
Iron Man 2 (2010),Paramount Pictures/Marvel Studios/Fairview Entertainment,PG-13,Action,"$128,122,480","$312,433,331","$308,723,058","$621,156,389",,https://www.the-numbers.com/movie/Iron-Man-2#tab=summary
Star Wars Ep. II: Attack of the Clones (2002),United States,PG-13,Animation/Live Action,"$80,027,814","$310,676,740","$346,018,875","$656,695,615","Ten years after the invasion of Naboo, the galaxy is on the brink of civil war. Under the leadership of a renegade Jedi named Count Dooku, thousands of solar systems threaten to break away from the Galactic Republic. When an assassination attempt is made on Senator Padmé Amidala, the former Queen of Naboo, twenty-year-old Jedi apprentice Anakin Skywalker is assigned to protect her. In the course of his mission, Anakin discovers his love for Padmé as well as his own darker side. Soon, Anakin, Padmé, and Obi-Wan Kenobi are drawn into the heart of the Separatist movement and the beginning of the Clone Wars. ",https://www.the-numbers.com/movie/Star-Wars-Ep-II-Attack-of-the-Clones#tab=summary
Pirates of the Caribbean: At Worldâs End (2007),United States,PG-13,Live Action,"$114,732,820","$309,420,425","$654,000,000","$963,420,425",,https://www.the-numbers.com/movie/Pirates-of-the-Caribbean-At-Worlds-End#tab=summary
Star Wars Ep. VI: Return of the Jedi (1983),United States,PG-13,Live Action,"$23,019,618","$309,205,079","$165,901,098","$475,106,177",,https://www.the-numbers.com/movie/Star-Wars-Ep-VI-Return-of-the-Jedi#tab=summary
Independence Day (1996),United States,PG-13,Live Action,"$50,228,264","$306,169,255","$511,231,623","$817,400,878",,https://www.the-numbers.com/movie/Independence-Day#tab=summary
Pirates of the Caribbean: The Curse of the Black Pearl (2003),Walt Disney Pictures/Jerry Bruckheimer,PG-13,Adventure,"$46,630,690","$305,410,819","$348,900,000","$654,310,819",,https://www.the-numbers.com/movie/Pirates-of-the-Caribbean-The-Curse-of-the-Black-Pearl#tab=summary
Skyfall (2012),Eon Productions/B23/Metro-Goldwyn-Mayer Pictures/Columbia Pictures,PG-13,Action,"$88,364,714","$304,360,277","$806,166,704","$1,110,526,981","Bond's loyalty to M is tested as her past comes back to haunt her. As MI6 comes under attack, 007 must track down and destroy the threat, no matter how personal the cost",https://www.the-numbers.com/movie/Skyfall#tab=summary
The Hobbit: An Unexpected Journey (2012),New Line Cinema/Metro-Goldwyn-Mayer Pictures/Wingnut Films,PG-13,Adventure,"$84,617,303","$303,003,568","$714,000,000","$1,017,003,568","Hobbit Bilbo Baggins is swept into an epic quest to reclaim the lost Dwarf Kingdom of Erebor from the fearsome Dragon Smaug. Approached out of the blue by the Wizard Gandalf the Grey, Bilbo finds himself joining a company of 13 Dwarves led by the legendary warrior Thorin Oakenshield. Their journey will take them into the Wild, through treacherous lands swarming with Goblins, Orcs and deadly Wargs, as well as a mysterious and sinister figure known only as the Necromancer.Although their goal lies to the East and the wastelands of the Lonely Mountain, first they must escape the Goblin tunnels, where Bilbo meets the creature that will change his life forever...Gollum.Here, alone with Gollum, on the shores of an underground lake, the unassuming Bilbo Baggins not only discovers depths of ingenuity and courage that surprise even him, he also gains possession of Gollum's ""precious"" ring that holds unexpected and useful qualities... A simple, gold ring that is tied to the fate of all Middle-earth in ways Bilbo cannot begin to know.",https://www.the-numbers.com/movie/Hobbit-An-Unexpected-Journey-The#tab=summary
Harry Potter and the Half-Blood Prince (2009),Heyday Films,PG,Adventure,"$77,835,727","$302,089,278","$633,124,489","$935,213,767",,https://www.the-numbers.com/movie/Harry-Potter-and-the-Half-Blood-Prince#tab=summary
The Twilight Saga: Eclipse (2010),United States,PG,Live Action,"$64,832,191","$300,531,751","$405,571,077","$706,102,828","Bella once again finds herself surrounded by danger as Seattle is ravaged by a string of mysterious killings and a malicious vampire continues her quest for revenge. In the midst of it all, she is forced to choose between her love for Edward and her friendship with Jacob-- knowing that her decision has the potential to ignite the struggle between vampire and werewolf. With her graduation quickly approaching, Bella is confronted with the most important decision of her life.",https://www.the-numbers.com/movie/Twilight-Saga-Eclipse-The#tab=summary
The Twilight Saga: New Moon (2009),Summit Entertainment/Temple Hill Entertainment/Imprint Entertainment/Sunswept Entertainment,PG-13,Drama,"$142,839,137","$296,623,634","$390,934,093","$687,557,727",asdsada,https://www.the-numbers.com/movie/Twilight-Saga-New-Moon-The#tab=summary
Harry Potter and the Deathly Hallows: Part I (2010),Heyday Films/Warner Bros.,PG-13,Adventure,"$125,017,372","$296,131,568","$664,300,000","$960,431,568","Harry, Ron and Hermione set out on their perilous mission to track down and destroy the Horcruxes - the keys to Voldemort's immortality. On their own, without the guidance or protection of their professors, the three friends must now rely on one another more than ever. But there are dark forces in their midst that threaten to tear them apart. Meanwhile, the Wizarding world has become a dangerous place for all enemies of the Dark Lord. Long-feared war has begun and Voldemort's death eaters seize control of the Ministry of Magic and even Hogwarts, terrorizing and arresting anyone who might oppose them. But the one prize they still seek is the one most valuable to Voldemort: Harry Potter. The Chosen one has become the hunted one as Voldemort's followers look for Harry with orders to bring him to the Dark Lord alive. ",https://www.the-numbers.com/movie/Harry-Potter-and-the-Deathly-Hallows-Part-I#tab=summary
The Sixth Sense (1999),English,PG-13,Fantasy,"$26,681,262","$293,506,292","$379,300,000","$672,806,292",,https://www.the-numbers.com/movie/Sixth-Sense-The#tab=summary
Up (2009),United States,PG,Digital Animation,"$68,108,790","$293,004,164","$438,459,213","$731,463,377",,https://www.the-numbers.com/movie/Up#tab=summary
Inception (2010),United Kingdom/United States,PG-13,Animation/Live Action,"$62,785,337","$292,576,195","$541,267,887","$833,844,082","Dom Cobb is a skilled thief, the absolute best in the dangerous art of extraction, stealing valuable secrets from deep within the subconscious, during the dream state when the mind is at its most vulnerable. Cobb's rare ability has made him a coveted player in this treacherous new world of corporate espionage, but it has also made him an international fugitive and cost him everything he has ever loved. One last job could give him his life back but only if he can accomplish the impossible: inception. Instead of the perfect heist, Cobb and his team of specialists have to pull off the reverse: their task is not to steal an idea but to plant one. If they succeed, it could be the perfect crime. But no amount of careful planning or expertise can prepare the team for the dangerous enemy that seems to predict their every move. An enemy that only Cobb could have seen coming.",https://www.the-numbers.com/movie/Inception#tab=summary
"The Twilight Saga: Breaking Dawn, Part 2 (2012)",Temple Hill Entertainment/Summit Entertainment/Sunswept Entertainment,PG-13,Drama,"$141,067,634","$292,324,737","$537,400,000","$829,724,737","Bella awakens transformed--she is now a mother and finally... a vampire. While her husband Edward delights in her beauty, speed, and uncommon self-control, newborn Bella has never felt more alive; and the destiny of her best friend Jacob Black has become entwined in that of their exceptional daughter Renesmee. The arrival of a creature so rare cements an extended family, but will soon ignite forces that threaten to destroy.",https://www.the-numbers.com/movie/Twilight-Saga-Breaking-Dawn-Part-2-The#tab=summary
Harry Potter and the Order of the Phoenix (2007),Heyday Films,PG-13,Adventure,"$77,108,414","$292,137,260","$650,939,197","$943,076,457",,https://www.the-numbers.com/movie/Harry-Potter-and-the-Order-of-the-Phoenix#tab=summary
"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe (2005)",United Kingdom/United States,PG-13,Animation/Live Action,"$65,556,312","$291,710,957","$428,828,615","$720,539,572","Four young adventurers playing hide and-seek in the country home of an old professor stumble upon an enchanted wardrobe that will take them places they never dreamed. Stepping through the wardrobe door, they are whisked out of World War II London into the spectacular parallel universe known as Narnia--a fairy-tale realm of magical proportions where woodland animals talk and mythological creatures roam the hills. But Narnia has fallen under the icy spell of a mad sorceress, cursed to suffer through a winter that never ends by the White Witch Jadis. Now, aided by Narnia's rightful leader, the wise and mystical lion Aslan, the four Pevensie children will discover their own strength and lead Narnia into a spectacular battle to be free of the Witch's glacial enslavement forever. ",https://www.the-numbers.com/movie/Chronicles-of-Narnia-The-Lion-the-Witch-and-the-Wardrobe-The#tab=summary
Man of Steel (2013),Warner Bros./Legendary Pictures/Syncopy,PG-13,Action,"$116,619,362","$291,045,518","$376,954,000","$667,999,518","A young boy learns that he has extraordinary powers and is not of this Earth. As a young man, he journeys to discover where he came from and what he was sent here to do. But the hero in him must emerge if he is to save the world from annihilation and become the symbol of hope for all mankind. ",https://www.the-numbers.com/movie/Man-of-Steel#tab=summary
Star Wars Ep. V: The Empire Strikes Back (1980),Lucasfilm,PG,Adventure,"$4,910,483","$290,271,960","$257,697,044","$547,969,004",,https://www.the-numbers.com/movie/Star-Wars-Ep-V-The-Empire-Strikes-Back#tab=summary
Harry Potter and the Goblet of Fire (2005),Warner Bros./Heyday Films,PG-13,Adventure,"$102,685,961","$290,201,752","$606,898,042","$897,099,794",,https://www.the-numbers.com/movie/Harry-Potter-and-the-Goblet-of-Fire#tab=summary
