name,year,domestic_box_office,international_box_office,worldwide_box_office
Avatar,2009,760507625,2028193712,2788701337
Avengers: Endgame,2019,858373000,1939427564,2797800564
Titanic,1997,659363944,1548844451,2208208395
Avengers: Infinity War,2018,678815482,1369544272,2048359754
Furious 7,2015,353007020,1165715774,1518722794
Star Wars Ep. VII: The Force Awakens,2015,936662225,1131561399,2068223624
The Lion King,2019,543638043,1113305351,1656943394
Jurassic World,2015,652270625,1018130012,1670400637
The Fate of the Furious,2017,225764765,1013000000,1238764765
Frozen II,2019,477373578,970178174,1447551752
Harry Potter and the Deathly Hallows: Part II,2011,381193157,960463516,1341656673
Avengers: Age of Ultron,2015,459005868,937093334,1396099202
The Avengers,2012,623357910,891742301,1515100211
Jurassic World: Fallen Kingdom,2018,417719760,890751228,1308470988
Frozen,2013,400738009,868008165,1268746174
Transformers: Age of Extinction,2014,245439076,858614996,1104054072
Zhan Lang 2,2017,2721100,828073071,830794171
Minions,2015,336045770,823585370,1159631140
Aquaman,2018,335061807,808904713,1143966520
Iron Man 3,2013,408992272,806400000,1215392272
Skyfall,2012,304360277,806166704,1110526981
Pirates of the Caribbean: On Stranger Tides,2011,241063875,804600000,1045663875
Transformers: Dark of the Moon,2011,352390543,771403536,1123794079
Despicable Me 3,2017,264624300,770004455,1034628755
Beauty and the Beast,2017,504014165,759190335,1263204500
Captain America: Civil War,2016,408084349,745200000,1153284349
The Lord of the Rings: The Return of the King,2003,377845905,742378141,1120224046
Spider-Man: Far From Home,2019,390532085,738232771,1128764856
Joker,2019,335451311,737346539,1072797850
Ne Zha Zhi Mo Tong Jiang Shi,2019,3695533,721413600,725109133
Ice Age: Continental Drift,2012,161321843,718443294,879765137
The Hobbit: An Unexpected Journey,2012,303003568,714000000,1017003568
Star Wars Ep. VIII: The Last Jedi,2017,620181382,712358507,1332539889
Captain Marvel,2019,426829839,702900000,1129729839
The Hobbit: The Desolation of Smaug,2013,258241522,702000000,960241522
Aladdin,2019,355559216,695400000,1050959216
Alice in Wonderland,2010,334191110,691300000,1025491110
The Hobbit: The Battle of the Five Armies,2014,255119788,690457833,945577621
Bohemian Rhapsody,2018,216303339,687210002,903513341
Liu Lang Di Qiu,2019,5875487,683059335,688934822
Zootopia,2016,341268248,682515947,1023784195
Spectre,2015,200074175,679546748,879620923
Harry Potter and the Deathly Hallows: Part I,2010,296131568,664300000,960431568
Ice Age: Dawn of the Dinosaurs,2009,196573705,663128152,859701857
Harry Potter and the Sorcerer's Stone,2001,317871467,657176139,975047606
Pirates of the Caribbean: At World's End,2007,309420425,654000000,963420425
Toy Story 3,2010,415004880,653874642,1068879522
Harry Potter and the Order of the Phoenix,2007,292137260,650939197,943076457
Black Panther,2018,700059566,646043810,1346103376
Jurassic Park,1993,402523348,643104279,1045627627
Pirates of the Caribbean: Dead Man's Chest,2006,423315812,642900000,1066215812
Venom,2018,213511408,640117197,853628605
Toy Story 4,2019,434038008,639356805,1073394813
The Dark Knight Rises,2012,448139099,636300000,1084439099
Incredibles 2,2018,608581744,634223615,1242805359
Harry Potter and the Half-Blood Prince,2009,302089278,633124489,935213767
Harry Potter and the Chamber of Secrets,2002,262233381,616991754,879225135
Pirates of the Caribbean: Dead Men Tell No Tales,2017,172558876,615682261,788241137
Despicable Me 2,2013,368065385,607151450,975216835
Harry Potter and the Goblet of Fire,2005,290201752,606898042,897099794
The Jungle Book,2016,364001123,598853424,962854547
2012,2009,166112167,591565581,757677748
Coco,2017,209726015,590250000,799976015
Fast & Furious Presents: Hobbs & Shaw,2019,173956935,586617518,760574453
The Lord of the Rings: The Two Towers,2002,342548984,585049265,927598249
Fantastic Beasts and Where to Find Them,2016,234037575,580000000,814037575
The Lord of the Rings: The Fellowship of the Ring,2001,315544750,571666235,887210985
Mission: ImpossibleâFallout,2018,220159104,567297448,787456552
The Lion King,1994,421785283,564429585,986214868
Jumanji: Welcome to the Jungle,2017,404508916,559987277,964496193
Spider-Man 3,2007,336530303,558329927,894860230
Star Wars: The Rise of Skywalker,2019,515202542,558267058,1073469600
Finding Nemo,2003,380529370,555651641,936181011
Star Wars Ep. I: The Phantom Menace,1999,474544677,552500000,1027044677
Mei Ren Yu,2016,3229457,551287214,554516671
Fast and Furious 6,2013,238679850,550620594,789300444
The Da Vinci Code,2006,217536138,550284321,767820459
Spider-Man: Homecoming,2017,334201140,545965210,880166350
Harry Potter and the Prisoner of Azkaban,2004,249757726,545858611,795616337
Tang Ren Jie Tan An 2,2018,1983984,542084590,544068574
Batman v Superman: Dawn of Justice,2016,330360194,542034897,872395091
Inception,2010,292576195,539975766,832551961
Finding Dory,2016,486295561,539068066,1025363627
Thor: Ragnarok,2017,315058289,538900000,853958289
"The Twilight Saga: Breaking Dawn, Part 2",2012,292324737,537400000,829724737
Hong Hai Xing Dong,2018,1543547,532057988,533601535
Madagascar 3: Europe's Most Wanted,2012,216391482,530529789,746921271
Rogue One: A Star Wars Story,2016,532177324,523879949,1056057273
The Secret Life of Pets,2016,368384330,518222082,886606412
Shrek Forever After,2010,238736787,517507886,756244673
Maleficent,2014,241407328,517129407,758536735
X-Men: Days of Future Past,2014,233921534,513941241,747862775
Independence Day,1996,306169255,511231623,817400878
The Amazing Spider-Man 2,2014,202853933,506142403,708996336
Dawn of the Planet of the Apes,2014,208545589,502098977,710644566
Inside Out,2015,356461711,501100000,857561711
Kung Fu Panda 2,2011,165249063,499588484,664837547
The Amazing Spider-Man,2012,262030663,495859604,757890267
Life of Pi,2012,124987022,494323346,619310368
Shrek 2,2004,441226247,494027731,935253978
Avatar,2009,760507625,2028193712,2788701337
Avengers: Endgame,2019,858373000,1939427564,2797800564
Titanic,1997,659363944,1548844451,2208208395
Avengers: Infinity War,2018,678815482,1369544272,2048359754
Furious 7,2015,353007020,1165715774,1518722794
Star Wars Ep. VII: The Force Awakens,2015,936662225,1131561399,2068223624
The Lion King,2019,543638043,1113305351,1656943394
Jurassic World,2015,652270625,1018130012,1670400637
The Fate of the Furious,2017,225764765,1013000000,1238764765
Frozen II,2019,477373578,970178174,1447551752
Harry Potter and the Deathly Hallows: Part II,2011,381193157,960463516,1341656673
Avengers: Age of Ultron,2015,459005868,937093334,1396099202
The Avengers,2012,623357910,891742301,1515100211
Jurassic World: Fallen Kingdom,2018,417719760,890751228,1308470988
Frozen,2013,400738009,868008165,1268746174
Transformers: Age of Extinction,2014,245439076,858614996,1104054072
Zhan Lang 2,2017,2721100,828073071,830794171
Minions,2015,336045770,823585370,1159631140
Aquaman,2018,335061807,808904713,1143966520
Iron Man 3,2013,408992272,806400000,1215392272
Skyfall,2012,304360277,806166704,1110526981
Pirates of the Caribbean: On Stranger Tides,2011,241063875,804600000,1045663875
Transformers: Dark of the Moon,2011,352390543,771403536,1123794079
Despicable Me 3,2017,264624300,770004455,1034628755
Beauty and the Beast,2017,504014165,759190335,1263204500
Captain America: Civil War,2016,408084349,745200000,1153284349
The Lord of the Rings: The Return of the King,2003,377845905,742378141,1120224046
Spider-Man: Far From Home,2019,390532085,738232771,1128764856
Joker,2019,335451311,737346539,1072797850
Ne Zha Zhi Mo Tong Jiang Shi,2019,3695533,721413600,725109133
Ice Age: Continental Drift,2012,161321843,718443294,879765137
The Hobbit: An Unexpected Journey,2012,303003568,714000000,1017003568
Star Wars Ep. VIII: The Last Jedi,2017,620181382,712358507,1332539889
Captain Marvel,2019,426829839,702900000,1129729839
The Hobbit: The Desolation of Smaug,2013,258241522,702000000,960241522
Aladdin,2019,355559216,695400000,1050959216
Alice in Wonderland,2010,334191110,691300000,1025491110
The Hobbit: The Battle of the Five Armies,2014,255119788,690457833,945577621
Bohemian Rhapsody,2018,216303339,687210002,903513341
Liu Lang Di Qiu,2019,5875487,683059335,688934822
Zootopia,2016,341268248,682515947,1023784195
Spectre,2015,200074175,679546748,879620923
Harry Potter and the Deathly Hallows: Part I,2010,296131568,664300000,960431568
Ice Age: Dawn of the Dinosaurs,2009,196573705,663128152,859701857
Harry Potter and the Sorcerer's Stone,2001,317871467,657176139,975047606
Pirates of the Caribbean: At World's End,2007,309420425,654000000,963420425
Toy Story 3,2010,415004880,653874642,1068879522
Harry Potter and the Order of the Phoenix,2007,292137260,650939197,943076457
Black Panther,2018,700059566,646043810,1346103376
Jurassic Park,1993,402523348,643104279,1045627627
Pirates of the Caribbean: Dead Man's Chest,2006,423315812,642900000,1066215812
Venom,2018,213511408,640117197,853628605
Toy Story 4,2019,434038008,639356805,1073394813
The Dark Knight Rises,2012,448139099,636300000,1084439099
Incredibles 2,2018,608581744,634223615,1242805359
Harry Potter and the Half-Blood Prince,2009,302089278,633124489,935213767
Harry Potter and the Chamber of Secrets,2002,262233381,616991754,879225135
Pirates of the Caribbean: Dead Men Tell No Tales,2017,172558876,615682261,788241137
Despicable Me 2,2013,368065385,607151450,975216835
Harry Potter and the Goblet of Fire,2005,290201752,606898042,897099794
The Jungle Book,2016,364001123,598853424,962854547
2012,2009,166112167,591565581,757677748
Coco,2017,209726015,590250000,799976015
Fast & Furious Presents: Hobbs & Shaw,2019,173956935,586617518,760574453
The Lord of the Rings: The Two Towers,2002,342548984,585049265,927598249
Fantastic Beasts and Where to Find Them,2016,234037575,580000000,814037575
The Lord of the Rings: The Fellowship of the Ring,2001,315544750,571666235,887210985
Mission: ImpossibleâFallout,2018,220159104,567297448,787456552
The Lion King,1994,421785283,564429585,986214868
Jumanji: Welcome to the Jungle,2017,404508916,559987277,964496193
Spider-Man 3,2007,336530303,558329927,894860230
Star Wars: The Rise of Skywalker,2019,515202542,558267058,1073469600
Finding Nemo,2003,380529370,555651641,936181011
Star Wars Ep. I: The Phantom Menace,1999,474544677,552500000,1027044677
Mei Ren Yu,2016,3229457,551287214,554516671
Fast and Furious 6,2013,238679850,550620594,789300444
The Da Vinci Code,2006,217536138,550284321,767820459
Spider-Man: Homecoming,2017,334201140,545965210,880166350
Harry Potter and the Prisoner of Azkaban,2004,249757726,545858611,795616337
Tang Ren Jie Tan An 2,2018,1983984,542084590,544068574
Batman v Superman: Dawn of Justice,2016,330360194,542034897,872395091
Inception,2010,292576195,539975766,832551961
Finding Dory,2016,486295561,539068066,1025363627
Thor: Ragnarok,2017,315058289,538900000,853958289
"The Twilight Saga: Breaking Dawn, Part 2",2012,292324737,537400000,829724737
Hong Hai Xing Dong,2018,1543547,532057988,533601535
Madagascar 3: Europe's Most Wanted,2012,216391482,530529789,746921271
Rogue One: A Star Wars Story,2016,532177324,523879949,1056057273
The Secret Life of Pets,2016,368384330,518222082,886606412
Shrek Forever After,2010,238736787,517507886,756244673
Maleficent,2014,241407328,517129407,758536735
X-Men: Days of Future Past,2014,233921534,513941241,747862775
Independence Day,1996,306169255,511231623,817400878
The Amazing Spider-Man 2,2014,202853933,506142403,708996336
Dawn of the Planet of the Apes,2014,208545589,502098977,710644566
Inside Out,2015,356461711,501100000,857561711
Kung Fu Panda 2,2011,165249063,499588484,664837547
The Amazing Spider-Man,2012,262030663,495859604,757890267
Life of Pi,2012,124987022,494323346,619310368
Shrek 2,2004,441226247,494027731,935253978
